dataTime,locType,longitude,latitude,heading,accuracy,speed,distance,isBackForeground,stepType,altitude
1759815352,1,-73.986894,40.684029,0.0,14.245955,1.045099,82.161892,1,0,5.659267
1759815428,1,-73.987332,40.683381,0.0,14.245955,0.455,80.92644,1,0,4.055806
1759815519,1,-73.987764,40.682739,0.0,14.245955,0.961885,80.102039,1,0,4.426726
1759815608,1,-73.988266,40.682108,0.0,14.245955,0.514461,81.919995,1,0,3.723392
1759815711,1,-73.988642,40.68143,0.0,14.245955,0.795106,81.725005,1,0,4.212234
1759816050,1,-73.988612,40.681217,0.0,21.595014,-1.0,23.78883,1,0,37.5
1759851831,1,-73.989555,40.68155,0.0,17.10513,-1.0,87.877108,1,0,11.651107
1759851900,1,-73.990449,40.681852,0.0,13.625258,-1.0,82.682157,1,0,11.453812
1759851965,1,-73.991257,40.68233,0.0,14.073487,-1.0,86.505474,1,0,9.553333
1759852035,1,-73.992274,40.682631,0.0,14.159695,-1.0,92.242485,1,0,10.171005
1759852140,1,-73.992768,40.683334,0.0,13.585928,-1.0,88.534663,1,0,10.127513
1759852202,1,-73.992312,40.684027,0.0,13.380526,-1.0,86.071203,1,0,9.602396
1759852265,1,-73.99183,40.684757,0.0,17.090654,-1.0,90.72932,1,0,8.535759
1759852342,1,-73.991247,40.685347,0.0,15.273247,-1.0,81.985477,1,0,7.747013
1759852922,1,-73.988092,40.71878,0.0,39.984202,-1.0,3722.226799,1,0,-14.569179
1759852980,1,-73.988823,40.723057,0.0,82.264218,-1.0,478.952825,1,0,1.802233
1759853399,1,-74.00127,40.731088,0.0,19.9961,-1.0,1378.875518,1,0,-5.728719
1759853531,1,-73.996648,40.737459,0.0,22.917798,-1.0,808.072053,1,0,5.524407
1759853609,1,-73.995807,40.73847,0.0,18.562498,-1.0,132.858909,1,0,4.925096
1759853717,1,-73.994846,40.738258,0.0,15.404505,-1.0,84.522719,1,0,12.439477
1759853781,1,-73.994031,40.737891,0.0,14.387447,2.105962,80.003694,1,0,6.999417
1759853846,1,-73.993064,40.737507,0.0,12.545597,-1.0,92.145532,1,0,10.940923
1759853910,1,-73.99222,40.737116,0.0,15.703803,-1.0,83.47596,1,0,12.256283
1759864760,1,-73.992199,40.737837,0.0,14.245955,0.926742,80.085977,1,0,13.318054
1759864833,1,-73.991301,40.737594,0.0,14.245955,0.793693,80.513005,1,0,13.280803
1759865070,1,-73.992257,40.737732,0.0,14.245955,1.337231,82.196778,1,0,13.458179
1759865157,1,-73.992747,40.737104,0.0,14.245955,1.101594,81.097156,1,0,12.586913
1759865213,1,-73.993192,40.736462,0.0,14.245955,0.865379,80.596396,1,0,12.411688
1759865343,1,-73.994162,40.736334,0.0,14.245954,1.848074,83.161937,1,0,11.113129
1759865413,1,-73.994986,40.736719,0.0,14.245955,1.113748,81.687052,1,0,10.697863
1759865483,1,-73.995808,40.737081,0.0,14.245955,1.155547,80.23347,1,0,10.509573
1759867781,1,-73.994993,40.736664,0.0,21.813896,-1.0,82.969894,1,0,11.671661
1759867857,1,-73.994109,40.736312,0.0,16.673583,-1.0,84.285855,1,0,10.857802
1759868011,1,-73.993278,40.735945,0.0,17.719936,-1.0,81.169682,1,0,12.259957
1759868085,1,-73.992319,40.735498,0.0,21.297847,0.0,95.00776,1,0,12.837115
1759868620,1,-73.991429,40.735252,0.0,20.216211,-1.0,79.989807,1,0,15.357647
1759868700,1,-73.991141,40.736058,0.0,17.737916,-1.0,92.752917,1,0,22.928137
1759868896,1,-73.990571,40.736702,0.0,40.453924,-1.0,86.213901,1,0,13.945333
1759869927,1,-73.991451,40.735319,0.0,53.32829,-1.0,170.624889,1,0,13.926087
1759869941,1,-73.990973,40.735942,0.0,21.940203,-1.0,80.10448,1,0,13.92968
1759870034,1,-73.99189,40.736141,0.0,15.278534,-1.0,80.551755,1,0,13.92979
1759870092,1,-73.992825,40.736494,0.0,19.727712,-1.0,88.174632,1,0,13.803137
1759870243,1,-73.993621,40.736096,0.0,16.876174,-1.0,80.46512,1,0,12.394299
1759870327,1,-73.994487,40.736413,0.0,15.709233,-1.0,81.182423,1,0,11.890171
1759870409,1,-73.995411,40.736822,0.0,19.161391,-1.0,90.30543,1,0,11.472442
1759870472,1,-73.996265,40.737151,0.0,16.144065,-1.0,80.863483,1,0,11.504917
1759871737,1,-73.991207,40.685412,0.0,135.961958,-1.0,5761.423016,1,0,1.800607
1759871883,1,-73.991754,40.68481,0.0,15.235925,-1.0,81.284693,1,0,7.874832
1759871957,1,-73.992244,40.684077,0.0,12.977646,1.461534,91.331437,1,0,8.021249
